Product_ID,Department,Product_Category,Price,Cost,Customer_Rating,Quantity_Sold,Inventory_Available,On_Promotion,Purchase_Method,Profit,Remaining_Inventory
H000022,Household,Home Decor,29.99,21.36,3.5,5,13,No,In-Store,43.14999999999999,8
H000023,Household,Kitchen Supplies,16.35,14.59,4.2,21,55,Yes,In-Store,36.960000000000036,34
H000024,Health & Beauty,Medications,4.29,2.7,3.5,16,40,No,In-Store,25.439999999999998,24
F000025,Food,Canned Goods,6.42,5.82,3.6,50,67,Yes,In-Store,29.999999999999982,17
H000026,Health & Beauty,Cosmetics,18.99,13.44,4.8,6,22,No,Online,33.3,16
H000027,Household,Home Decor,24.99,18.35,2.8,20,36,No,In-Store,132.79999999999995,16
F000028,Food,Dairy,10.38,12.61,3.8,139,153,Yes,In-Store,-309.9699999999998,14
H000029,Household,Home Decor,13.99,9.5,3.6,8,14,No,Online,35.92,6
F000030,Food,Snacks,4.99,3.78,3.8,8,15,No,In-Store,9.680000000000003,7
F000031,Food,Frozen Foods,7.99,6.12,5.0,6,11,No,In-Store,11.22,5
F000033,Food,Meat,16.99,12.36,3.7,42,64,No,In-Store,194.45999999999995,22
F000034,Food,Dairy,6.99,5.5,4.2,8,13,No,Pickup,11.920000000000002,5
H000035,Health & Beauty,Medications,4.41,3.9,5.0,63,164,Yes,Pickup,32.13000000000002,101
F000036,Food,Canned Goods,5.99,4.56,3.0,53,103,No,Pickup,75.79000000000003,50
F000037,Food,Canned Goods,6.99,5.1,4.5,5,9,No,In-Store,9.450000000000003,4
H000038,Household,Kitchen Supplies,17.99,13.45,2.6,20,28,No,In-Store,90.79999999999998,8
H000039,Health & Beauty,Cosmetics,18.49,13.19,3.6,9,23,No,In-Store,47.69999999999999,14
F000040,Food,Produce,7.79,5.64,4.4,15,17,No,In-Store,32.25000000000001,2
H000041,Household,Cleaning Supplies,7.29,6.34,3.9,15,44,Yes,In-Store,14.250000000000004,29
F000042,Food,Produce,3.29,2.57,4.4,31,36,No,In-Store,22.320000000000007,5
F000043,Food,Canned Goods,8.99,6.44,4.0,19,24,No,In-Store,48.449999999999996,5
F000045,Food,Produce,7.99,6.47,3.8,11,13,No,In-Store,16.720000000000006,2
H000046,Household,Cleaning Supplies,3.99,2.67,4.5,35,55,No,Pickup,46.20000000000001,20
F000047,Food,Bakery,7.79,6.32,4.2,4,7,No,In-Store,5.879999999999999,3
F000048,Food,Frozen Foods,2.99,2.24,4.3,5,8,No,In-Store,3.75,3
E000049,Electronics/General,Electronics,176.18,153.64,3.5,76,195,Yes,Online,1713.0400000000016,119
F000050,Food,Produce,3.49,2.52,4.1,36,60,No,In-Store,34.92000000000001,24
H000051,Household,Cleaning Supplies,7.99,5.44,4.2,14,27,No,In-Store,35.699999999999996,13
F000052,Food,Dairy,14.5,13.11,4.7,14,21,Yes,In-Store,19.460000000000008,7
F000053,Food,Produce,11.99,9.85,3.8,35,44,No,In-Store,74.90000000000002,9
F000054,Food,Produce,1.14,1.07,4.2,72,115,Yes,In-Store,5.0399999999999885,43
F000055,Food,Frozen Foods,1.99,1.49,4.2,22,26,No,Pickup,11.0,4
F000057,Food,Meat,16.99,13.31,4.5,10,16,No,Pickup,36.79999999999998,6
F000058,Food,Frozen Foods,7.79,5.78,4.2,26,44,No,In-Store,52.25999999999999,18
H000059,Household,Paper Products,14.99,10.0,3.5,25,58,No,Online,124.75,33
F000060,Food,Beverages,7.99,5.82,4.7,21,35,No,In-Store,45.57,14
F000061,Food,Produce,13.49,10.16,5.0,20,37,No,In-Store,66.6,17
H000062,Household,Paper Products,9.79,6.98,,9,23,No,Online,25.28999999999999,14
F000063,Food,Produce,1.93,2.18,4.8,60,73,Yes,In-Store,-15.000000000000014,13
F000064,Food,Produce,0.71,0.77,4.4,58,72,Yes,In-Store,-3.480000000000003,14
H000065,Household,Cleaning Supplies,14.59,10.33,4.2,24,40,No,Pickup,102.24,16
F000066,Food,Dairy,8.29,6.39,3.6,8,9,No,In-Store,15.199999999999996,1
F000067,Food,Frozen Foods,9.99,7.18,3.3,85,111,No,Pickup,238.85000000000005,26
F000068,Food,Canned Goods,7.99,5.88,4.0,6,10,No,In-Store,12.660000000000002,4
F000069,Food,Produce,7.99,5.75,4.4,16,28,No,In-Store,35.84,12
F000071,Food,Produce,2.99,2.35,4.5,39,48,No,In-Store,24.960000000000004,9
F000072,Food,Frozen Foods,2.0,1.84,4.2,236,437,Yes,In-Store,37.759999999999984,201
F000074,Food,Beverages,12.79,10.27,4.1,30,40,No,In-Store,75.6,10
H000075,Household,Laundry,24.49,17.12,4.7,13,24,No,Pickup,95.80999999999997,11
F000076,Food,Dairy,8.49,7.47,5.0,42,47,Yes,In-Store,42.84000000000002,5
H000077,Household,Home Decor,9.99,6.9,3.9,26,47,No,In-Store,80.34,21
H000078,Health & Beauty,Personal Care,11.99,8.19,2.9,1,2,No,Online,3.8000000000000007,1
H000079,Health & Beauty,Hair Care,19.08,17.79,3.0,9,28,Yes,Online,11.609999999999992,19
F000080,Food,Dairy,12.99,10.55,4.4,28,53,No,In-Store,68.32,25
H000081,Household,Kitchen Supplies,12.99,9.02,4.7,5,14,No,Pickup,19.85,9
F000082,Food,Dairy,2.99,2.3,5.0,10,11,No,In-Store,6.900000000000004,1
F000083,Food,Meat,6.78,7.4,4.5,44,56,Yes,In-Store,-27.280000000000005,12
F000084,Food,Dairy,10.89,9.86,3.8,74,100,Yes,In-Store,76.22000000000008,26
F000085,Food,Frozen Foods,3.47,3.14,4.0,57,85,Yes,In-Store,18.810000000000002,28
F000086,Food,Canned Goods,9.99,7.68,5.0,22,35,No,In-Store,50.82000000000001,13
F000087,Food,Snacks,9.99,8.0,4.0,9,10,No,Online,17.910000000000004,1
F000088,Food,Produce,1.99,1.55,4.4,53,101,No,Online,23.319999999999997,48
H000089,Household,Paper Products,21.29,14.58,4.1,9,26,No,Online,60.38999999999999,17
H000090,Health & Beauty,Personal Care,22.29,14.11,3.1,7,16,No,Online,57.26,9
H000091,Health & Beauty,Cosmetics,15.59,9.93,3.6,22,76,No,In-Store,124.52000000000001,54
F000092,Food,Bakery,12.99,9.47,4.0,7,12,No,In-Store,24.639999999999997,5
F000094,Food,Meat,12.99,9.67,3.8,23,37,No,In-Store,76.36000000000001,14
H000095,Household,Home Decor,19.79,13.92,3.5,7,11,No,In-Store,41.089999999999996,4
F000096,Food,Snacks,5.34,5.07,5.0,40,55,Yes,Pickup,10.799999999999983,15
F000097,Food,Bakery,7.99,6.08,4.3,22,32,No,In-Store,42.02,10
H000098,Health & Beauty,Personal Care,20.29,13.23,3.9,4,8,No,In-Store,28.239999999999995,4
H000099,Household,Kitchen Supplies,5.99,4.49,3.6,61,96,No,In-Store,91.5,35
F000100,Food,Snacks,10.49,8.26,4.1,13,18,No,In-Store,28.990000000000006,5
F000101,Food,Frozen Foods,9.55,8.76,4.1,7,8,Yes,In-Store,5.5300000000000065,1
F000102,Food,Canned Goods,12.99,9.58,4.0,13,15,No,Online,44.33,2
F000103,Food,Beverages,3.99,2.93,,54,65,No,In-Store,57.24,11
F000104,Food,Dairy,12.84,11.78,4.1,81,112,Yes,In-Store,85.86000000000004,31
F000105,Food,Canned Goods,9.49,7.0,4.9,9,14,No,Online,22.410000000000004,5
F000106,Food,Bakery,9.49,7.83,4.1,24,35,No,Pickup,39.84,11
F000107,Food,Canned Goods,12.99,10.07,4.5,14,23,No,In-Store,40.879999999999995,9
H000108,Household,Kitchen Supplies,11.99,8.94,4.0,6,13,No,In-Store,18.300000000000004,7
F000109,Food,Frozen Foods,2.47,2.24,4.1,63,105,Yes,In-Store,14.489999999999998,42
F000110,Food,Produce,1.99,1.46,3.9,40,45,No,In-Store,21.200000000000003,5
F000111,Food,Beverages,12.29,9.16,4.7,11,16,No,Pickup,34.42999999999999,5
F000112,Food,Snacks,5.99,4.4,3.3,26,49,No,In-Store,41.339999999999996,23
H000113,Household,Kitchen Supplies,14.99,10.27,4.4,4,10,No,Online,18.880000000000003,6
H000114,Household,Kitchen Supplies,23.99,16.8,4.2,3,7,No,In-Store,21.569999999999993,4
F000115,Food,Canned Goods,3.99,3.16,4.3,11,13,No,In-Store,9.13,2
H000116,Household,Laundry,10.99,7.74,4.7,8,13,No,Pickup,26.0,5
F000117,Food,Meat,16.99,12.7,4.7,7,9,No,In-Store,30.029999999999994,2
H000118,Household,Kitchen Supplies,14.79,10.88,2.8,21,42,No,In-Store,82.10999999999997,21
H000119,Health & Beauty,Hair Care,15.49,10.23,3.3,8,18,No,Pickup,42.08,10
H000120,Health & Beauty,Hair Care,12.49,8.2,,7,17,No,Pickup,30.03000000000001,10
E000121,Electronics/General,Office Supplies,62.99,42.68,4.0,20,46,No,Online,406.20000000000005,26
H000122,Household,Kitchen Supplies,20.99,14.71,3.8,24,54,No,Pickup,150.71999999999994,30
F000123,Food,Canned Goods,1.99,1.58,,19,32,No,In-Store,7.789999999999998,13
F000125,Food,Canned Goods,1.99,1.62,3.3,23,34,No,In-Store,8.509999999999998,11
H000126,Health & Beauty,Hair Care,26.29,16.68,4.8,4,7,No,In-Store,38.44,3
F000127,Food,Dairy,1.65,1.86,4.1,136,267,Yes,In-Store,-28.560000000000024,131
E000128,Electronics/General,Office Supplies,65.99,46.25,2.7,1,2,No,Online,19.739999999999995,1
H000129,Household,Paper Products,15.49,10.55,3.9,4,6,No,In-Store,19.759999999999998,2
F000130,Food,Frozen Foods,14.99,11.04,3.9,9,13,No,In-Store,35.55000000000001,4
H000131,Health & Beauty,Cosmetics,30.99,21.29,3.7,4,14,No,In-Store,38.8,10
H000132,Household,Paper Products,10.99,8.2,3.1,5,6,No,In-Store,13.950000000000005,1
F000133,Food,Bakery,5.99,4.66,3.3,16,21,No,Pickup,21.28,5
F000134,Food,Meat,4.53,5.22,4.7,21,26,Yes,Pickup,-14.48999999999999,5
H000135,Household,Home Decor,33.99,23.45,,7,12,No,In-Store,73.78000000000002,5
F000136,Food,Meat,17.99,14.82,4.9,9,15,No,In-Store,28.529999999999983,6
F000137,Food,Bakery,4.87,4.42,5.0,77,123,Yes,Online,34.65000000000001,46
F000138,Food,Bakery,8.79,6.5,4.6,4,7,No,In-Store,9.159999999999997,3
F000139,Food,Beverages,13.99,10.92,4.4,12,14,No,Pickup,36.84,2
H000140,Household,Cleaning Supplies,10.49,7.27,3.9,14,27,No,In-Store,45.08000000000001,13
F000142,Food,Canned Goods,2.51,2.18,4.0,81,126,Yes,In-Store,26.72999999999997,45
F000143,Food,Bakery,5.23,4.65,3.7,168,243,Yes,In-Store,97.44000000000001,75
H000144,Household,Cleaning Supplies,15.99,11.5,3.7,3,7,No,Pickup,13.47,4
H000145,Health & Beauty,Cosmetics,19.99,12.9,3.0,7,15,No,Online,49.62999999999999,8
F000146,Food,Produce,2.99,2.4,4.8,3,4,No,In-Store,1.770000000000001,1
H000147,Household,Kitchen Supplies,14.79,10.87,3.9,18,36,No,In-Store,70.56,18
F000148,Food,Bakery,6.99,5.55,3.6,99,134,No,In-Store,142.56000000000003,35
H000149,Household,Laundry,25.79,19.62,4.5,3,8,No,Pickup,18.509999999999994,5
H000150,Household,Laundry,28.99,20.74,3.9,19,39,No,In-Store,156.75,20
F000151,Food,Frozen Foods,4.99,3.77,5.0,20,22,No,Pickup,24.400000000000006,2
H000152,Household,Laundry,24.79,16.61,1.9,7,19,No,In-Store,57.26,12
H000153,Household,Paper Products,7.79,5.34,4.5,14,34,No,In-Store,34.300000000000004,20
H000154,Health & Beauty,Medications,8.9,7.77,4.8,17,67,Yes,Online,19.210000000000015,50
H000155,Household,Cleaning Supplies,12.99,9.98,3.9,12,21,No,Pickup,36.12,9
F000156,Food,Dairy,9.32,8.63,3.4,44,66,Yes,In-Store,30.359999999999978,22
F000157,Food,Snacks,6.88,6.05,4.9,14,21,Yes,Pickup,11.620000000000001,7
H000158,Household,Paper Products,19.99,13.56,5.0,19,56,No,In-Store,122.16999999999996,37
H000159,Household,Cleaning Supplies,20.29,14.09,3.2,10,15,No,In-Store,61.99999999999999,5
H000160,Health & Beauty,Medications,22.79,15.52,4.3,3,7,No,In-Store,21.81,4
F000161,Food,Meat,9.99,7.6,3.4,5,6,No,In-Store,11.950000000000003,1
F000162,Food,Dairy,1.99,1.53,3.9,54,67,No,In-Store,24.839999999999996,13
H000163,Household,Kitchen Supplies,23.99,16.37,4.1,20,31,No,Pickup,152.39999999999995,11
H000164,Household,Cleaning Supplies,6.99,4.82,3.9,37,66,No,Online,80.28999999999999,29
E000165,Electronics/General,Office Supplies,28.79,21.61,3.0,2,7,No,In-Store,14.36,5
H000166,Health & Beauty,Personal Care,7.79,5.17,4.4,25,89,No,In-Store,65.5,64
F000167,Food,Canned Goods,8.03,7.31,4.4,4,7,Yes,In-Store,2.879999999999999,3
F000168,Food,Frozen Foods,8.99,6.82,4.0,8,10,No,In-Store,17.36,2
F000169,Food,Dairy,6.99,5.13,4.2,48,85,No,In-Store,89.28000000000002,37
E000170,Electronics/General,Toys,21.99,16.0,3.4,1,2,No,Online,5.989999999999998,1
F000171,Food,Beverages,2.99,2.29,4.8,18,23,No,In-Store,12.600000000000003,5
H000172,Health & Beauty,Hair Care,22.99,14.52,4.6,2,4,No,In-Store,16.939999999999998,2
H000173,Health & Beauty,Cosmetics,9.99,6.79,4.2,6,16,No,In-Store,19.200000000000003,10
F000174,Food,Meat,6.99,5.02,4.3,44,79,No,In-Store,86.68000000000004,35
H000176,Household,Laundry,5.99,4.54,3.8,22,44,No,In-Store,31.900000000000006,22
H000177,Household,Cleaning Supplies,21.99,16.23,3.7,5,8,No,Pickup,28.79999999999999,3
H000178,Household,Laundry,29.99,20.04,3.3,5,12,No,In-Store,49.75,7
F000179,Food,Bakery,9.99,7.6,3.8,47,66,No,In-Store,112.33000000000003,19
F000180,Food,Bakery,7.99,5.82,4.2,6,7,No,Pickup,13.02,1
F000181,Food,Produce,0.29,0.22,4.5,35,69,No,In-Store,2.4499999999999993,34
H000182,Household,Cleaning Supplies,18.99,13.96,3.8,15,31,No,Pickup,75.44999999999996,16
H000183,Household,Cleaning Supplies,11.01,10.44,4.0,33,66,Yes,In-Store,18.81000000000001,33
H000184,Health & Beauty,Personal Care,7.99,5.1,3.2,7,23,No,In-Store,20.230000000000004,16
H000185,Household,Home Decor,9.49,7.12,4.3,9,21,No,In-Store,21.330000000000002,12
F000186,Food,Canned Goods,14.99,12.43,4.4,4,5,No,Online,10.240000000000002,1
F000187,Food,Frozen Foods,8.73,10.38,4.0,26,35,Yes,In-Store,-42.900000000000006,9
H000189,Household,Cleaning Supplies,22.99,16.57,3.7,4,6,No,Online,25.679999999999993,2
F000190,Food,Snacks,9.29,7.17,4.0,40,79,No,In-Store,84.79999999999997,39
F000191,Food,Meat,17.12,15.83,3.8,28,52,Yes,In-Store,36.120000000000026,24
H000192,Health & Beauty,Hair Care,14.99,9.41,4.3,5,9,No,In-Store,27.9,4
H000193,Health & Beauty,Hair Care,13.99,9.35,4.7,14,36,No,In-Store,64.96000000000001,22
H000194,Health & Beauty,Personal Care,18.58,16.61,3.2,58,140,Yes,In-Store,114.25999999999993,82
H000195,Health & Beauty,Personal Care,15.29,10.48,3.7,5,12,No,Online,24.049999999999994,7
H000197,Household,Home Decor,29.99,20.09,2.8,1,2,No,Online,9.899999999999999,1
F000198,Food,Snacks,1.49,1.22,4.2,84,126,No,In-Store,22.68,42
E000199,Electronics/General,Toys,61.99,45.47,3.0,2,9,No,In-Store,33.040000000000006,7
H000200,Health & Beauty,Medications,6.47,5.73,3.7,18,64,Yes,Online,13.319999999999988,46
F000201,Food,Meat,14.79,10.79,4.2,27,36,No,In-Store,108.0,9
F000202,Food,Beverages,13.99,10.79,3.8,12,13,No,Online,38.40000000000001,1
E000203,Electronics/General,Electronics,224.29,155.85,3.4,1,4,No,In-Store,68.44,3
H000204,Household,Cleaning Supplies,17.49,12.93,3.3,5,12,No,In-Store,22.799999999999994,7
F000205,Food,Dairy,9.49,7.83,3.5,72,139,No,In-Store,119.52000000000001,67
E000206,Electronics/General,Toys,22.99,17.12,3.8,1,2,No,In-Store,5.869999999999997,1
F000207,Food,Canned Goods,3.99,3.24,4.8,58,98,No,Pickup,43.5,40
F000208,Food,Dairy,2.33,2.85,4.1,33,49,Yes,In-Store,-17.16,16
H000209,Health & Beauty,Cosmetics,33.59,21.34,3.1,13,49,No,Pickup,159.25000000000006,36
E000210,Electronics/General,Toys,31.49,21.54,5.0,1,3,No,Online,9.95,2
F000211,Food,Bakery,0.59,0.42,3.9,24,40,No,Online,4.08,16
E000212,Electronics/General,Toys,74.99,50.07,3.5,1,2,No,Online,24.919999999999995,1
F000213,Food,Snacks,13.99,10.36,4.1,10,19,No,In-Store,36.30000000000001,9
F000214,Food,Produce,2.99,2.18,3.8,19,26,No,Pickup,15.39,7
F000215,Food,Produce,2.99,2.16,4.0,74,83,No,Online,61.42,9
F000216,Food,Bakery,7.79,5.94,5.0,14,24,No,In-Store,25.899999999999995,10
H000217,Household,Paper Products,6.99,5.06,3.6,22,50,No,In-Store,42.460000000000015,28
H000218,Health & Beauty,Hair Care,19.99,12.73,4.5,14,27,No,Online,101.63999999999997,13
F000219,Food,Snacks,11.27,10.23,4.5,77,100,Yes,In-Store,80.07999999999993,23
H000220,Household,Kitchen Supplies,6.99,5.27,3.5,12,22,No,Pickup,20.640000000000008,10
H000222,Household,Kitchen Supplies,23.29,16.63,4.6,7,15,No,In-Store,46.620000000000005,8
F000223,Food,Beverages,11.99,9.56,4.6,42,68,No,Pickup,102.05999999999999,26
E000224,Electronics/General,Electronics,118.99,84.15,3.8,8,24,No,Online,278.7199999999999,16
H000225,Health & Beauty,Medications,24.79,17.47,4.4,12,38,No,In-Store,87.84,26
F000226,Food,Frozen Foods,13.99,10.53,4.1,63,118,No,In-Store,217.98000000000005,55
F000227,Food,Dairy,12.99,10.46,4.0,5,9,No,In-Store,12.649999999999997,4
H000228,Health & Beauty,Cosmetics,29.99,20.65,4.3,4,8,No,Pickup,37.36,4
H000229,Household,Laundry,32.99,22.05,4.2,7,16,No,Online,76.58000000000001,9
F000230,Food,Bakery,5.99,4.29,4.5,8,14,No,Pickup,13.600000000000001,6
H000231,Health & Beauty,Personal Care,28.99,20.31,3.2,2,7,No,In-Store,17.36,5
H000232,Household,Paper Products,7.99,6.02,4.1,50,108,No,In-Store,98.50000000000003,58
F000234,Food,Frozen Foods,9.49,7.52,3.8,9,15,No,In-Store,17.730000000000004,6
H000235,Health & Beauty,Medications,39.99,28.42,3.5,8,13,No,Online,92.56,5
F000236,Food,Snacks,12.99,10.6,4.0,17,29,No,In-Store,40.63000000000001,12
F000237,Food,Snacks,6.99,5.8,4.7,66,84,No,In-Store,78.54000000000002,18
F000238,Food,Produce,12.99,10.4,4.7,25,42,No,In-Store,64.75,17
F000240,Food,Meat,11.99,,4.4,8,14,No,In-Store,,6
H000241,Household,Paper Products,21.59,16.59,2.7,9,21,No,In-Store,45.0,12
F000242,Food,Bakery,8.99,6.78,3.7,6,10,No,In-Store,13.26,4
H000243,Household,Laundry,16.59,11.68,3.1,1,2,No,Pickup,4.91,1
H000244,Household,Kitchen Supplies,2.84,2.56,3.8,19,33,Yes,In-Store,5.319999999999997,14
F000245,Food,Beverages,8.99,6.92,4.7,43,62,No,In-Store,89.01000000000002,19
F000246,Food,Produce,5.99,4.49,4.0,26,49,No,In-Store,39.0,23
F000247,Food,Beverages,13.99,10.49,3.9,26,50,No,In-Store,91.0,24
F000248,Food,Bakery,8.9,8.25,3.9,67,91,Yes,Pickup,43.550000000000026,24
F000249,Food,Produce,6.99,5.7,5.0,21,24,No,In-Store,27.09,3
H000250,Household,Laundry,7.99,5.33,4.3,19,25,No,Online,50.540000000000006,6
F000251,Food,Bakery,10.72,9.92,3.8,243,450,Yes,In-Store,194.40000000000018,207
E000252,Electronics/General,Office Supplies,25.99,19.26,3.0,1,2,No,In-Store,6.729999999999997,1
E000253,Electronics/General,Office Supplies,21.99,16.9,3.3,2,7,No,Pickup,10.18,5
H000254,Health & Beauty,Cosmetics,4.99,3.3,4.2,5,18,No,Pickup,8.450000000000003,13
F000255,Food,Frozen Foods,8.08,8.89,4.4,31,42,Yes,In-Store,-25.110000000000014,11
H000256,Household,Laundry,24.99,17.71,4.1,5,9,No,In-Store,36.39999999999999,4
F000257,Food,Snacks,8.99,6.86,4.2,13,24,No,Pickup,27.689999999999998,11
H000258,Health & Beauty,Hair Care,17.99,12.59,3.4,4,10,No,In-Store,21.599999999999994,6
F000259,Food,Snacks,10.36,9.57,4.9,26,41,Yes,Pickup,20.539999999999978,15
F000260,Food,Dairy,8.99,6.85,4.0,44,75,No,Pickup,94.16000000000003,31
F000261,Food,Frozen Foods,14.99,11.29,4.4,3,4,No,In-Store,11.100000000000003,1
F000262,Food,Produce,3.29,2.61,3.4,19,31,No,Pickup,12.920000000000003,12
F000263,Food,Beverages,9.99,7.29,4.8,13,19,No,In-Store,35.1,6
F000264,Food,Dairy,7.49,5.72,4.7,76,148,No,In-Store,134.52000000000004,72
F000265,Food,Produce,1.29,1.04,4.9,50,90,No,Pickup,12.5,40
H000266,Health & Beauty,Medications,31.99,22.84,4.2,2,4,No,In-Store,18.299999999999997,2
F000267,Food,Dairy,8.99,6.95,4.5,17,31,No,Pickup,34.68,14
F000268,Food,Bakery,10.99,8.45,4.4,12,14,No,In-Store,30.48000000000001,2
H000269,Health & Beauty,Medications,28.79,20.32,2.8,3,11,No,Online,25.409999999999997,8
F000271,Food,Meat,7.99,5.71,3.7,5,6,No,Pickup,11.400000000000002,1
H000272,Household,Paper Products,20.59,14.64,3.8,22,49,No,Online,130.89999999999998,27
F000273,Food,Frozen Foods,11.99,9.26,4.7,4,5,No,In-Store,10.920000000000002,1
H000274,Household,Paper Products,20.79,15.6,4.3,7,15,No,Pickup,36.33,8
F000275,Food,Bakery,4.81,4.4,5.0,42,58,Yes,In-Store,17.21999999999997,16
F000276,Food,Frozen Foods,4.59,3.37,3.9,82,140,No,In-Store,100.03999999999998,58
F000277,Food,Produce,4.14,3.84,4.3,34,58,Yes,In-Store,10.199999999999994,24
F000278,Food,Canned Goods,4.49,3.35,4.3,17,20,No,In-Store,19.380000000000003,3
H000279,Household,Paper Products,12.99,8.69,4.0,11,22,No,In-Store,47.30000000000001,11
F000280,Food,Beverages,1.99,1.46,3.7,421,778,No,In-Store,223.13000000000002,357
H000281,Health & Beauty,Hair Care,10.79,7.18,5.0,8,27,No,In-Store,28.879999999999995,19
H000282,Health & Beauty,Medications,19.99,13.29,5.0,1,3,No,In-Store,6.699999999999999,2
H000283,Health & Beauty,Cosmetics,12.99,9.23,3.1,18,36,No,Online,67.67999999999999,18
F000284,Food,Beverages,5.99,4.9,3.7,7,12,No,Pickup,7.629999999999999,5
H000285,Household,Laundry,21.99,14.97,3.8,6,15,No,Pickup,42.11999999999999,9
F000286,Food,Dairy,2.49,1.78,4.4,151,239,No,In-Store,107.21000000000002,88
H000287,Household,Paper Products,14.73,13.99,3.4,14,27,Yes,Online,10.360000000000003,13
F000288,Food,Bakery,7.99,6.4,3.7,105,169,No,Pickup,166.95,64
H000289,Household,Kitchen Supplies,14.99,10.91,3.2,6,9,No,In-Store,24.48,3
E000290,Electronics/General,Seasonal,41.99,29.14,5.0,42,101,No,In-Store,539.7,59
H000292,Household,Cleaning Supplies,16.99,11.65,3.8,26,59,No,In-Store,138.83999999999995,33
F000293,Food,Meat,13.06,15.6,5.0,142,168,Yes,Pickup,-360.6799999999999,26
H000294,Health & Beauty,Cosmetics,24.98,22.83,2.0,17,60,Yes,In-Store,36.55000000000004,43
H000295,Health & Beauty,Medications,12.99,8.66,3.5,19,49,No,In-Store,82.27,30
H000296,Health & Beauty,Cosmetics,4.99,3.45,2.7,23,66,No,Online,35.42,43
F000297,Food,Canned Goods,2.99,2.48,3.4,22,33,No,Online,11.220000000000006,11
E000298,Electronics/General,Toys,68.99,52.62,3.7,1,2,No,In-Store,16.369999999999997,1
H000299,Health & Beauty,Medications,33.99,23.29,3.0,8,12,No,In-Store,85.60000000000002,4
H000300,Household,Paper Products,11.99,8.3,3.6,6,11,No,In-Store,22.139999999999997,5
F000301,Food,Snacks,1.49,1.16,4.4,49,61,No,In-Store,16.17,12
F000302,Food,Produce,8.99,6.56,4.7,97,155,No,Online,235.71000000000006,58
H000303,Health & Beauty,Personal Care,10.49,6.8,5.0,20,76,No,In-Store,73.80000000000001,56
F000304,Food,Dairy,15.29,12.72,4.6,33,59,No,In-Store,84.80999999999995,26
F000305,Food,Frozen Foods,5.99,4.71,3.9,14,15,No,Pickup,17.92,1
F000306,Food,Dairy,7.99,5.9,4.2,15,28,No,In-Store,31.349999999999998,13
H000307,Health & Beauty,Cosmetics,24.79,16.76,4.5,7,22,No,Pickup,56.20999999999998,15
H000308,Health & Beauty,Cosmetics,29.68,26.19,3.2,12,40,Yes,In-Store,41.87999999999998,28
F000309,Food,Canned Goods,12.79,9.77,4.9,17,26,No,In-Store,51.33999999999999,9
F000310,Food,Bakery,3.29,3.04,4.7,196,263,Yes,In-Store,49.0,67
H000311,Household,Cleaning Supplies,23.99,18.3,2.9,5,10,No,Online,28.44999999999999,5
F000312,Food,Frozen Foods,9.99,8.07,4.2,11,13,No,In-Store,21.119999999999997,2
H000313,Household,Laundry,30.59,23.3,4.0,6,13,No,In-Store,43.739999999999995,7
F000314,Food,Snacks,6.59,5.16,4.5,53,94,No,Pickup,75.78999999999999,41
H000315,Household,Cleaning Supplies,5.99,4.31,5.0,7,18,No,Online,11.760000000000005,11
