Product_ID,Department,Product_Category,Price,Cost,Customer_Rating
H000120,Health & Beauty,Hair Care,12.49,8.2,
E000121,Electronics/General,Office Supplies,62.99,42.68,4.0
H000122,Household,Kitchen Supplies,20.99,14.71,3.8
F000123,Food,Canned Goods,1.99,1.58,
H000124,Household,,14.99,10.86,4.7
F000125,Food,Canned Goods,1.99,1.62,3.3
H000126,Health & Beauty,Hair Care,26.29,16.68,4.8
F000127,Food,Dairy,1.65,1.86,4.1
E000128,Electronics/General,Office Supplies,65.99,46.25,2.7
H000129,Household,Paper Products,15.49,10.55,3.9
F000130,Food,Frozen Foods,14.99,11.04,3.9
H000131,Health & Beauty,Cosmetics,30.99,21.29,3.7
H000132,Household,Paper Products,10.99,8.2,3.1
F000133,Food,Bakery,5.99,4.66,3.3
F000134,Food,Meat,4.53,5.22,4.7
H000135,Household,Home Decor,33.99,23.45,
F000136,Food,Meat,17.99,14.82,4.9
F000137,Food,Bakery,4.87,4.42,5.0
F000138,Food,Bakery,8.79,6.5,4.6
F000139,Food,Beverages,13.99,10.92,4.4
H000140,Household,Cleaning Supplies,10.49,7.27,3.9
F000141,Food,,3.49,2.5,3.9
F000142,Food,Canned Goods,2.51,2.18,4.0
F000143,Food,Bakery,5.23,4.65,3.7
H000144,Household,Cleaning Supplies,15.99,11.5,3.7
H000145,Health & Beauty,Cosmetics,19.99,12.9,3.0
F000146,Food,Produce,2.99,2.4,4.8
H000147,Household,Kitchen Supplies,14.79,10.87,3.9
F000148,Food,Bakery,6.99,5.55,3.6
H000149,Household,Laundry,25.79,19.62,4.5
H000150,Household,Laundry,28.99,20.74,3.9
F000151,Food,Frozen Foods,4.99,3.77,5.0
H000152,Household,Laundry,24.79,16.61,1.9
H000153,Household,Paper Products,7.79,5.34,4.5
H000154,Health & Beauty,Medications,8.9,7.77,4.8
H000155,Household,Cleaning Supplies,12.99,9.98,3.9
F000156,Food,Dairy,9.32,8.63,3.4
F000157,Food,Snacks,6.88,6.05,4.9
H000158,Household,Paper Products,19.99,13.56,5.0
H000159,Household,Cleaning Supplies,20.29,14.09,3.2
H000160,Health & Beauty,Medications,22.79,15.52,4.3
F000161,Food,Meat,9.99,7.6,3.4
F000162,Food,Dairy,1.99,1.53,3.9
H000163,Household,Kitchen Supplies,23.99,16.37,4.1
H000164,Household,Cleaning Supplies,6.99,4.82,3.9
E000165,Electronics/General,Office Supplies,28.79,21.61,3.0
H000166,Health & Beauty,Personal Care,7.79,5.17,4.4
F000167,Food,Canned Goods,8.03,7.31,4.4
F000168,Food,Frozen Foods,8.99,6.82,4.0
F000169,Food,Dairy,6.99,5.13,4.2
E000170,Electronics/General,Toys,21.99,16.0,3.4
F000171,Food,Beverages,2.99,2.29,4.8
H000172,Health & Beauty,Hair Care,22.99,14.52,4.6
H000173,Health & Beauty,Cosmetics,9.99,6.79,4.2
F000174,Food,Meat,6.99,5.02,4.3
H000175,Health & Beauty,,11.99,8.52,4.8
H000176,Household,Laundry,5.99,4.54,3.8
H000177,Household,Cleaning Supplies,21.99,16.23,3.7
H000178,Household,Laundry,29.99,20.04,3.3
F000179,Food,Bakery,9.99,7.6,3.8
F000180,Food,Bakery,7.99,5.82,4.2
F000181,Food,Produce,0.29,0.22,4.5
H000182,Household,Cleaning Supplies,18.99,13.96,3.8
H000183,Household,Cleaning Supplies,11.01,10.44,4.0
H000184,Health & Beauty,Personal Care,7.99,5.1,3.2
H000185,Household,Home Decor,9.49,7.12,4.3
F000186,Food,Canned Goods,14.99,12.43,4.4
F000187,Food,Frozen Foods,8.73,10.38,4.0
F000188,Food,,10.99,8.5,3.4
H000189,Household,Cleaning Supplies,22.99,16.57,3.7
F000190,Food,Snacks,9.29,7.17,4.0
F000191,Food,Meat,17.12,15.83,3.8
H000192,Health & Beauty,Hair Care,14.99,9.41,4.3
H000193,Health & Beauty,Hair Care,13.99,9.35,4.7
H000194,Health & Beauty,Personal Care,18.58,16.61,3.2
H000195,Health & Beauty,Personal Care,15.29,10.48,3.7
H000196,Health & Beauty,,19.99,13.0,4.9
H000197,Household,Home Decor,29.99,20.09,2.8
F000198,Food,Snacks,1.49,1.22,4.2
E000199,Electronics/General,Toys,61.99,45.47,3.0
H000200,Health & Beauty,Medications,6.47,5.73,3.7
F000201,Food,Meat,14.79,10.79,4.2
F000202,Food,Beverages,13.99,10.79,3.8
E000203,Electronics/General,Electronics,224.29,155.85,3.4
H000204,Household,Cleaning Supplies,17.49,12.93,3.3
F000205,Food,Dairy,9.49,7.83,3.5
E000206,Electronics/General,Toys,22.99,17.12,3.8
F000207,Food,Canned Goods,3.99,3.24,4.8
F000208,Food,Dairy,2.33,2.85,4.1
H000209,Health & Beauty,Cosmetics,33.59,21.34,3.1
E000210,Electronics/General,Toys,31.49,21.54,5.0
F000211,Food,Bakery,0.59,0.42,3.9
E000212,Electronics/General,Toys,74.99,50.07,3.5
F000213,Food,Snacks,13.99,10.36,4.1
F000214,Food,Produce,2.99,2.18,3.8
F000215,Food,Produce,2.99,2.16,4.0
F000216,Food,Bakery,7.79,5.94,5.0
H000217,Household,Paper Products,6.99,5.06,3.6
H000218,Health & Beauty,Hair Care,19.99,12.73,4.5
F000219,Food,Snacks,11.27,10.23,4.5
H000220,Household,Kitchen Supplies,6.99,5.27,3.5
H000221,Household,,11.59,8.07,3.7
H000222,Household,Kitchen Supplies,23.29,16.63,4.6
F000223,Food,Beverages,11.99,9.56,4.6
E000224,Electronics/General,Electronics,118.99,84.15,3.8
H000225,Health & Beauty,Medications,24.79,17.47,4.4
F000226,Food,Frozen Foods,13.99,10.53,4.1
F000227,Food,Dairy,12.99,10.46,4.0
H000228,Health & Beauty,Cosmetics,29.99,20.65,4.3
H000229,Household,Laundry,32.99,22.05,4.2
F000230,Food,Bakery,5.99,4.29,4.5
H000231,Health & Beauty,Personal Care,28.99,20.31,3.2
H000232,Household,Paper Products,7.99,6.02,4.1
E000233,Electronics/General,,73.39,66.02,
F000234,Food,Frozen Foods,9.49,7.52,3.8
H000235,Health & Beauty,Medications,39.99,28.42,3.5
F000236,Food,Snacks,12.99,10.6,4.0
F000237,Food,Snacks,6.99,5.8,4.7
F000238,Food,Produce,12.99,10.4,4.7
F000239,Food,,2.99,2.18,5.0
F000240,Food,Meat,11.99,,4.4
H000241,Household,Paper Products,21.59,16.59,2.7
F000242,Food,Bakery,8.99,6.78,3.7
H000243,Household,Laundry,16.59,11.68,3.1
H000244,Household,Kitchen Supplies,2.84,2.56,3.8
F000245,Food,Beverages,8.99,6.92,4.7
F000246,Food,Produce,5.99,4.49,4.0
F000247,Food,Beverages,13.99,10.49,3.9
F000248,Food,Bakery,8.9,8.25,3.9
F000249,Food,Produce,6.99,5.7,5.0
H000250,Household,Laundry,7.99,5.33,4.3
F000251,Food,Bakery,10.72,9.92,3.8
E000252,Electronics/General,Office Supplies,25.99,19.26,3.0
E000253,Electronics/General,Office Supplies,21.99,16.9,3.3
H000254,Health & Beauty,Cosmetics,4.99,3.3,4.2
F000255,Food,Frozen Foods,8.08,8.89,4.4
H000256,Household,Laundry,24.99,17.71,4.1
F000257,Food,Snacks,8.99,6.86,4.2
H000258,Health & Beauty,Hair Care,17.99,12.59,3.4
F000259,Food,Snacks,10.36,9.57,4.9
F000260,Food,Dairy,8.99,6.85,4.0
F000261,Food,Frozen Foods,14.99,11.29,4.4
F000262,Food,Produce,3.29,2.61,3.4
F000263,Food,Beverages,9.99,7.29,4.8
F000264,Food,Dairy,7.49,5.72,4.7
F000265,Food,Produce,1.29,1.04,4.9
H000266,Health & Beauty,Medications,31.99,22.84,4.2
F000267,Food,Dairy,8.99,6.95,4.5
F000268,Food,Bakery,10.99,8.45,4.4
H000269,Health & Beauty,Medications,28.79,20.32,2.8
H000270,Household,,21.99,16.37,4.1
F000271,Food,Meat,7.99,5.71,3.7
H000272,Household,Paper Products,20.59,14.64,3.8
F000273,Food,Frozen Foods,11.99,9.26,4.7
H000274,Household,Paper Products,20.79,15.6,4.3
F000275,Food,Bakery,4.81,4.4,5.0
F000276,Food,Frozen Foods,4.59,3.37,3.9
F000277,Food,Produce,4.14,3.84,4.3
F000278,Food,Canned Goods,4.49,3.35,4.3
H000279,Household,Paper Products,12.99,8.69,4.0
F000280,Food,Beverages,1.99,1.46,3.7
H000281,Health & Beauty,Hair Care,10.79,7.18,5.0
H000282,Health & Beauty,Medications,19.99,13.29,5.0
H000283,Health & Beauty,Cosmetics,12.99,9.23,3.1
F000284,Food,Beverages,5.99,4.9,3.7
H000285,Household,Laundry,21.99,14.97,3.8
F000286,Food,Dairy,2.49,1.78,4.4
H000287,Household,Paper Products,14.73,13.99,3.4
F000288,Food,Bakery,7.99,6.4,3.7
H000289,Household,Kitchen Supplies,14.99,10.91,3.2
E000290,Electronics/General,Seasonal,41.99,29.14,5.0
H000291,Household,,9.53,9.0,4.1
H000292,Household,Cleaning Supplies,16.99,11.65,3.8
F000293,Food,Meat,13.06,15.6,5.0
H000294,Health & Beauty,Cosmetics,24.98,22.83,2.0
H000295,Health & Beauty,Medications,12.99,8.66,3.5
H000296,Health & Beauty,Cosmetics,4.99,3.45,2.7
F000297,Food,Canned Goods,2.99,2.48,3.4
E000298,Electronics/General,Toys,68.99,52.62,3.7
H000299,Health & Beauty,Medications,33.99,23.29,3.0
H000300,Household,Paper Products,11.99,8.3,3.6
F000301,Food,Snacks,1.49,1.16,4.4
F000302,Food,Produce,8.99,6.56,4.7
H000303,Health & Beauty,Personal Care,10.49,6.8,5.0
F000304,Food,Dairy,15.29,12.72,4.6
F000305,Food,Frozen Foods,5.99,4.71,3.9
F000306,Food,Dairy,7.99,5.9,4.2
H000307,Health & Beauty,Cosmetics,24.79,16.76,4.5
H000308,Health & Beauty,Cosmetics,29.68,26.19,3.2
F000309,Food,Canned Goods,12.79,9.77,4.9
F000310,Food,Bakery,3.29,3.04,4.7
H000311,Household,Cleaning Supplies,23.99,18.3,2.9
F000312,Food,Frozen Foods,9.99,8.07,4.2
H000313,Household,Laundry,30.59,23.3,4.0
F000314,Food,Snacks,6.59,5.16,4.5
H000315,Household,Cleaning Supplies,5.99,4.31,5.0
H000316,Household,Laundry,24.99,18.62,3.4
H000317,Household,Cleaning Supplies,7.99,5.76,5.0
F000318,Food,Bakery,2.99,2.2,4.7
H000319,Health & Beauty,Hair Care,18.39,16.81,3.1
F000320,Food,Produce,2.79,2.23,4.4
H000321,Household,,13.99,9.9,3.8
H000322,Household,Cleaning Supplies,8.49,5.75,3.2
H000323,Household,Paper Products,7.17,6.42,3.1
F000324,Food,,1.64,1.54,3.4
H000325,Household,Home Decor,23.99,18.26,4.5
F000326,Food,Canned Goods,13.99,11.15,4.0
F000327,Food,Dairy,3.79,2.97,4.2
F000328,Food,Frozen Foods,2.99,2.19,3.0
F000329,Food,Beverages,4.92,4.68,3.2
H000330,Household,Home Decor,27.99,19.6,3.7
E000331,Electronics/General,Office Supplies,39.99,26.75,2.7
F000332,Food,Beverages,14.99,10.96,4.7
F000333,Food,Produce,6.32,5.68,3.9
H000334,Household,Home Decor,18.99,14.52,4.3
H000335,Health & Beauty,Personal Care,22.99,14.75,4.0
F000336,Food,Canned Goods,10.99,8.31,4.3
F000337,Food,Produce,8.99,7.22,5.0
F000338,Food,Canned Goods,11.99,8.96,4.9
F000339,Food,Produce,5.99,4.76,4.1
F000340,Food,Beverages,5.99,4.51,4.0
F000341,Food,Beverages,2.59,2.12,4.2
F000342,Food,Meat,4.99,3.58,4.6
F000343,Food,Bakery,11.49,9.07,4.3
H000344,Household,Cleaning Supplies,7.99,5.93,3.4
H000345,Health & Beauty,Personal Care,9.79,6.45,3.6
F000346,Food,Frozen Foods,5.99,4.66,5.0
F000347,Food,Dairy,13.99,10.43,3.6
F000348,Food,Bakery,8.99,7.22,4.2
H000349,Health & Beauty,Hair Care,26.99,17.26,3.3
H000350,Health & Beauty,Cosmetics,14.99,10.27,3.9
F000351,Food,Dairy,8.99,7.13,5.0
F000352,Food,Produce,3.99,3.06,3.5
F000353,Food,Bakery,6.99,5.8,
F000354,Food,,2.39,2.23,4.1
F000355,Food,Bakery,9.99,8.11,3.3
F000356,Food,Snacks,4.99,4.1,3.7
H000357,Household,Laundry,28.79,19.85,4.8
F000358,Food,Bakery,10.99,8.38,3.8
E000359,Electronics/General,Seasonal,86.29,62.59,1.6
F000360,Food,Bakery,7.99,6.26,4.2
F000361,Food,Dairy,17.79,12.77,4.7
H000362,Household,Paper Products,19.99,15.26,5.0
H000363,Health & Beauty,Personal Care,22.99,14.6,2.9
F000364,Food,Produce,10.57,9.92,4.8
H000365,Household,,8.22,7.33,3.8
F000366,Food,Beverages,8.29,6.17,3.9
H000367,Health & Beauty,Cosmetics,17.99,12.42,4.3
F000368,Food,Beverages,11.99,9.36,5.0
H000369,Household,Laundry,16.95,15.84,3.3
F000370,Food,Frozen Foods,6.24,5.78,4.3
H000371,Household,Cleaning Supplies,18.99,13.67,4.5
H000372,Health & Beauty,Medications,39.99,27.94,4.2
F000373,Food,Dairy,6.77,6.22,4.4
H000374,Household,Home Decor,17.99,12.19,4.6
F000375,Food,Meat,20.79,15.8,3.6
F000376,Food,Beverages,8.49,6.29,3.8
F000377,Food,Meat,14.31,17.23,4.1
H000378,Household,Laundry,20.29,14.34,3.7
F000379,Food,Produce,8.99,6.52,3.7
F000380,Food,Bakery,7.99,6.22,4.4
H000381,Household,Paper Products,8.99,6.7,5.0
F000382,Food,Dairy,14.99,11.04,4.8
F000383,Food,Produce,9.72,8.85,4.7
F000384,Food,Meat,20.99,17.28,4.8
E000385,Electronics/General,Seasonal,109.49,77.87,3.5
H000386,Household,Kitchen Supplies,16.99,13.02,3.9
F000387,Food,Frozen Foods,4.79,3.8,5.0
F000388,Food,Bakery,4.99,3.77,4.1
H000389,Household,Laundry,17.11,15.15,4.6
H000390,Health & Beauty,Personal Care,22.49,14.32,4.4
F000391,Food,Frozen Foods,3.99,3.0,3.8
H000392,Health & Beauty,Medications,32.79,22.08,3.1
H000393,Household,,15.79,12.11,4.5
H000394,Household,Kitchen Supplies,3.78,3.34,5.0
F000395,Food,Frozen Foods,11.99,8.79,5.0
F000396,Food,Dairy,11.99,9.85,3.7
E000397,Electronics/General,Office Supplies,58.29,43.86,3.0
F000398,Food,Snacks,10.99,8.81,3.4
F000399,Food,Frozen Foods,1.99,1.58,4.4
F000400,Food,Snacks,13.99,10.1,4.4
F000401,Food,Produce,3.38,3.07,3.9
F000402,Food,Beverages,12.99,9.97,3.7
H000403,Household,Kitchen Supplies,16.36,14.52,3.8
F000404,Food,Dairy,9.49,7.57,4.8
F000405,Food,Beverages,8.55,10.37,4.0
H000406,Household,Cleaning Supplies,19.49,13.02,4.4
F000407,Food,Frozen Foods,5.79,4.3,3.4
H000408,Household,Cleaning Supplies,3.49,2.35,5.0
F000409,Food,Meat,1.99,1.51,4.1
H000410,Household,Kitchen Supplies,4.99,3.68,3.5
H000411,Household,Kitchen Supplies,6.99,4.8,4.4
E000412,Electronics/General,Electronics,141.99,98.87,3.0
F000413,Food,Snacks,6.39,5.67,4.9
F000414,Food,Canned Goods,4.99,3.6,4.3
H000415,Household,Home Decor,7.34,6.84,4.0
H000416,Health & Beauty,Hair Care,4.99,3.24,3.4
F000417,Food,Dairy,7.99,6.05,4.2
H000418,Health & Beauty,Personal Care,14.99,10.08,3.7
H000419,Household,Home Decor,30.99,21.19,4.8
F000420,Food,Frozen Foods,8.26,10.01,4.7
H000421,Health & Beauty,Medications,8.99,5.75,3.2
F000422,Food,Snacks,3.59,2.62,4.5
H000423,Household,Paper Products,8.99,6.03,3.5
F000424,Food,Meat,6.29,4.92,4.6
F000425,Food,Snacks,14.49,11.75,5.0
H000426,Household,Laundry,24.02,22.2,3.5
F000427,Food,Bakery,9.49,7.87,4.7
H000428,Household,Laundry,27.79,18.8,3.4
E000429,Electronics/General,Office Supplies,16.49,11.12,5.0
H000430,Household,Laundry,31.49,23.75,3.8
E000431,Electronics/General,Electronics,16.99,12.35,3.4
H000432,Health & Beauty,Medications,47.99,30.72,3.1
H000433,Health & Beauty,Medications,22.99,14.99,4.1
F000434,Food,Canned Goods,2.99,2.14,3.8
F000435,Food,Frozen Foods,9.99,8.08,4.0
F000436,Food,,9.49,7.53,
F000437,Food,Produce,11.99,9.32,4.2
H000438,Household,Paper Products,6.8,5.95,3.5
F000439,Food,,5.99,4.32,4.1
F000440,Food,Meat,22.99,17.03,4.8
H000441,Health & Beauty,Personal Care,26.99,17.5,4.8
F000442,Food,Beverages,2.52,2.28,3.6
H000443,Health & Beauty,,27.99,17.95,3.4
F000444,Food,Bakery,6.99,5.09,3.8
F000445,Food,Dairy,3.99,3.08,3.9
H000446,Household,Kitchen Supplies,19.99,14.19,4.7
F000447,Food,Canned Goods,1.29,1.04,4.6
F000448,Food,Produce,11.02,9.8,4.7
F000449,Food,Frozen Foods,1.99,1.64,3.3
F000450,Food,,9.99,7.98,3.4
F000451,Food,Beverages,5.79,4.24,4.3
H000452,Household,Laundry,15.99,10.66,4.1
F000453,Food,Bakery,1.99,1.66,4.7
F000454,Food,Frozen Foods,2.99,2.16,4.3
F000455,Food,Meat,20.99,17.32,5.0
H000456,Health & Beauty,Hair Care,7.49,5.24,4.4
F000457,Food,,1.74,1.64,4.8
F000458,Food,Snacks,3.99,3.14,4.7
H000459,Household,Laundry,16.99,11.5,3.9
F000460,Food,Bakery,7.41,6.92,4.0
H000461,Household,Home Decor,30.99,20.88,4.6
F000462,Food,Frozen Foods,9.99,8.26,3.9
F000463,Food,Beverages,2.5,2.27,3.9
F000464,Food,,1.99,1.63,5.0
H000465,Household,Home Decor,13.59,9.09,3.4
F000466,Food,Beverages,7.99,5.76,3.9
H000467,Household,Kitchen Supplies,12.99,9.38,4.9
H000468,Household,Cleaning Supplies,12.99,9.44,5.0
F000469,Food,Dairy,12.99,10.6,3.8
H000470,Household,Home Decor,11.59,8.56,2.8
F000471,Food,,10.99,10.0,4.6
H000472,Household,Cleaning Supplies,17.99,12.46,3.9
F000473,Food,Meat,11.99,9.29,4.5
E000474,Electronics/General,Electronics,74.99,52.63,5.0
F000475,Food,Produce,11.59,8.9,4.9
H000476,Health & Beauty,Medications,10.99,7.72,3.8
F000477,Food,Dairy,15.99,12.4,4.6
H000478,Household,,14.99,10.12,4.1
H000479,Household,Cleaning Supplies,18.99,14.13,4.1
H000480,Household,Laundry,18.79,13.72,3.7
H000481,Household,Paper Products,18.99,12.81,3.4
H000482,Household,Kitchen Supplies,6.31,5.49,4.5
H000483,Health & Beauty,Hair Care,21.49,15.09,4.9
F000484,Food,Bakery,11.79,9.31,3.9
F000485,Food,Frozen Foods,6.99,5.77,4.5
H000486,Household,Cleaning Supplies,13.99,9.35,2.8
H000487,Household,Kitchen Supplies,11.79,8.75,3.3
F000488,Food,Meat,19.99,15.59,4.6
F000489,Food,Snacks,14.99,11.25,4.1
F000490,Food,Frozen Foods,6.99,5.07,4.4
F000491,Food,Frozen Foods,1.79,1.45,4.4
F000492,Food,Dairy,11.79,9.29,4.7
F000493,Food,Snacks,7.99,5.76,4.7
H000494,Health & Beauty,Personal Care,8.99,6.41,3.3
F000495,Food,,7.49,6.07,4.9
F000496,Food,Dairy,7.99,5.72,4.3
H000497,Health & Beauty,Personal Care,16.55,14.94,3.4
F000498,Food,Frozen Foods,10.59,8.08,4.7
H000499,Health & Beauty,Medications,28.99,18.4,3.3
F000500,Food,Snacks,3.99,3.31,3.9
H000501,Household,Kitchen Supplies,19.99,,3.6
H000502,Health & Beauty,Hair Care,17.99,12.72,4.4
H000503,Household,Paper Products,21.99,16.2,4.6
E000504,Electronics/General,Toys,46.99,32.05,4.5
F000505,Food,Meat,6.99,5.28,4.8
H000506,Health & Beauty,Medications,27.99,17.81,4.1
F000507,Food,Bakery,2.99,2.27,4.8
E000508,Electronics/General,Toys,32.99,22.21,5.0
H000509,Household,,21.99,15.5,4.5
F000510,Food,Frozen Foods,13.79,10.0,4.3
H000511,Household,Paper Products,20.99,15.81,3.2
H000512,Household,Paper Products,18.99,,3.0
F000513,Food,Canned Goods,7.79,5.61,3.7
H000514,Household,Laundry,5.99,4.58,4.6
H000515,Household,Kitchen Supplies,20.99,15.14,4.9
F000516,Food,Meat,7.99,6.56,4.3
F000517,Food,Frozen Foods,1.79,1.29,4.1
H000518,Health & Beauty,Medications,35.99,24.69,5.0
F000519,Food,Bakery,9.59,7.34,3.4
F000520,Food,Beverages,11.29,8.6,4.1
F000521,Food,,1.49,1.12,3.7
F000522,Food,Frozen Foods,6.99,5.05,3.7
H000523,Household,Home Decor,28.26,25.95,4.1
H000524,Health & Beauty,Medications,36.99,25.74,3.5
H000525,Household,Cleaning Supplies,14.99,10.22,4.9
F000526,Food,Produce,6.0,5.22,4.7
F000527,Food,Canned Goods,13.99,10.02,4.4
F000528,Food,,4.99,4.06,5.0
H000529,Household,Paper Products,20.99,14.56,3.9
F000530,Food,Frozen Foods,9.99,7.14,4.1
H000531,Health & Beauty,Cosmetics,19.99,13.07,4.4
F000532,Food,Beverages,9.99,7.22,3.8
H000533,Health & Beauty,Personal Care,19.99,14.21,3.8
F000534,Food,Produce,1.99,1.5,3.8
H000535,Health & Beauty,Cosmetics,38.49,24.43,4.2
H000536,Household,Home Decor,29.99,22.55,3.8
H000537,Household,Cleaning Supplies,20.2,18.76,4.4
F000538,Food,Snacks,7.99,5.84,5.0
H000539,Household,Cleaning Supplies,16.99,11.58,4.1
E000540,Electronics/General,Electronics,139.29,107.04,2.4
H000541,Health & Beauty,Medications,17.79,12.5,5.0
F000542,Food,Produce,1.99,1.5,4.6
F000543,Food,Dairy,15.49,11.73,4.4
